time,GEN1:Vt,GEN1:delta,GEN1:omega,GEN1:P,GEN2:delta,GEN3:delta
0.0,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.01,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.02,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.03,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.04,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.05,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.06,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.07,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.08,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.09,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.1,1.0399999999999991,0.039647699354716605,1.0,0.7164102147448149,0.34438113831405404,0.2297972232250936
0.11,0.8848782325414164,0.039684097241793406,1.0000193082159,0.6231056831208736,0.34626025341775896,0.23158576513236187
0.12,0.8848190173296177,0.03979408056882448,1.0000394625915299,0.6170923283232512,0.35189097512997863,0.23694353327078696
0.13,0.8847167888453853,0.03998243574574872,1.0000613072066502,0.6071081073982748,0.3612590554190909,0.24584866483840537
0.14,0.8845662906559967,0.04025711744486538,1.0000856767003201,0.5932070234578717,0.3743442455948778,0.25826826590254104
0.15,0.8843603077984157,0.04062920508539131,1.0001133919254057,0.575464295066498,0.3911204324202191,0.27415865609516044
0.16,0.8840898233989634,0.04111284240657073,1.0001452552762398,0.5539781062965974,0.41155582393701706,0.29346570076031264
0.17,0.8837442143860725,0.04172515873010913,1.000182045613709,0.5288716508530416,0.4356131868796508,0.3161252327138953
0.18,0.8833114840444568,0.042486170277153935,1.0002245127412404,0.500295320774829,0.46325013783753843,0.34206356581786
0.19,1.0357355242953463,0.04346839087728145,1.0003053019263173,0.2943876832861792,0.49235761581870685,0.3691874194485993
0.2,1.0346299550355331,0.04478751648590022,1.0004028555012507,0.21721285003823498,0.5207430523329403,0.3953033605559379
0.21,1.03349231470707,0.04650515057064392,1.0005162620860502,0.144615622010037,0.5482838653891646,0.42024786879367815
0.22,1.0323467921974976,0.04867922805652615,1.0006444939990977,0.07711114928416005,0.5748640544239563,0.443873918196101
0.23,1.0312181064234351,0.05136360451669704,1.000786422078786,0.015144434835422943,0.6003745378499975,0.4660522635587264
0.24,1.0301307858805164,0.05460770159712282,1.000940830460322,-0.040908421447026715,0.6247134232167758,0.48667241400533323
0.25,1.0291084837468751,0.05845620764819644,1.0011064308892388,-0.09073719378937181,0.6477862232250616,0.5056433077637782
0.26,1.0281733481501232,0.0629488311052263,1.0012818762394118,-0.13409315644836875,0.6695060320240533,0.52289370835742
0.27,1.0273454626731984,0.06812010308281594,1.001465773000928,-0.17078383883434703,0.6897936767318833,0.538372346442059
0.28,1.0266423677392975,0.07399922495271435,1.0016566926041455,-0.200667383033142,0.7085778589594436,0.5520478334353901
0.29,1.0260786694834312,0.0806099563595079,1.0018531815436482,-0.2236469452719009,0.725795300314041,0.5639083730980383
0.3,1.025665739284808,0.08797053916774202,1.0020537703537833,-0.23966552725294085,0.741390904463511,0.5739612956430549
0.31,1.0254115043908385,0.09609365318276031,1.0022569815617215,-0.24870155069636754,0.7553179464177661,0.5822324361565441
0.32,1.025320328006738,0.10498640008723155,1.0024613368016546,-0.2507654056196774,0.7675382973068656,0.5887653755237687
0.33,1.0253929757779583,0.11465031281938379,1.0026653633133162,-0.24589711580662715,0.7780226901809314,0.5936205580949012
0.34,1.025626664630934,0.12508138851749376,1.0028676000691306,-0.23416517853608637,0.7867510293080825,0.596874296393969
0.35000000000000003,1.0260151893121088,0.13627014409886856,1.0030666037775595,-0.21566655386769018,0.793712742183579,0.5986176696347195
0.36,1.0265491215260156,0.14820169446495243,1.0032609549969134,-0.19052770458088958,0.7989071700694642,0.5989553199645349
0.37,1.02721607618707,0.16085585416785686,1.0034492645658932,-0.15890652342472955,0.802343989444771,0.5980041484533213
0.38,1.0280010388624246,0.17420726408604012,1.0036301805166703,-0.12099493124529109,0.8040436533520879,0.5958919120462735
0.39,1.0288867479264119,0.18822554519560142,1.003802395585921,-0.07702188895794214,0.8040378383740073,0.5927557230962689
