time,Vref,Vt,Vfd,Id,Iq,Vd,Vq,P,Q,Pm,omega,delta
0.78,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.79,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.8,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.81,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.8200000000000001,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.8300000000000001,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.84,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.85,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.86,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.87,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.88,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.89,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.9,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.91,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.92,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.93,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.9400000000000001,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.9500000000000001,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.96,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.97,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.98,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.99,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,1.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.01,1.06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.02,1.06,1.0,1.025125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.03,1.06,1.0000012079390572,1.0491061875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.04,1.06,1.0000046230155695,1.07200069690625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.05,1.06,1.0000110649450744,1.0938621989434207,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.06,1.06,1.000021199337557,1.1147411760144965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.07,1.06,1.0000355597000161,1.1346851695613942,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.08,1.06,1.000054566504508,1.1537390027101881,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.09,1.06,1.000078543704824,1.1719449810752494,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.1,1.06,1.0001077330352879,1.1893430742392999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.11,1.06,1.0001423063818955,1.205971080114619,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.12,1.06,1.000182376478374,1.2218647741185584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.1300000000000001,1.06,1.000228006146941,1.2370580448590374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.1400000000000001,1.06,1.0002792162750107,1.251583017818334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.1500000000000001,1.06,1.0003359926942381,1.2654701683424137,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.16,1.06,1.0003982921066645,1.2787484250848598,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.17,1.06,1.0004660471838942,1.2914452649162542,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.18,1.06,1.000539170948838,1.3035868001890565,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.19,1.06,1.0006175605352916,1.3151978591423847,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.2,1.06,1.0007011004081927,1.3263020601387212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.21,1.06,1.0007896651165946,1.3369218803436989,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.22,1.06,1.000883121641976,1.3470787193893508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.23,1.06,1.0009813313963256,1.3567929584991965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.24,1.06,1.0010841519173073,1.3660840154992142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.25,1.06,1.0011914383016103,1.374970396091103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.26,1.06,1.0013030444121935,1.38346974172243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.27,1.06,1.0014188238904354,1.3915988743515673,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.28,1.06,1.0015386310001146,1.3993738383730676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.29,1.06,1.0016623213265965,1.4068099399407765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.3,1.06,1.0017897523515,1.413921783901017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.31,1.06,1.0019207839204423,1.4207233085262092,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.32,1.06,1.0020552786191068,1.4272278182199012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.33,1.06,1.002193102070858,1.4334480143470765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
