time,GRID1:omega,GEN1:Vt,GEN1:Vfd,GEN1:Id,GEN1:Iq,GEN1:Vd,GEN1:Vq,GEN1:P,GEN1:Q,GRID1:delta,GEN1:delta,GEN1:omega
0.0,0.9999999999999999,1.002326822230817,1.1496693513371854,0.07593966518935624,0.10514178649075905,0.22920909113543808,0.9757675189840018,0.1200000017848154,0.05000000537239074,-0.012050259471676759,0.23457354563128527,0.9999999999992365
0.01,0.9999999999999998,1.0023268222292492,1.1496693513371854,0.0759396651755901,0.10514178646303524,0.22920909114038626,0.9757675189812289,0.1200000017546923,0.050000005364581906,-0.012050259471677632,0.23457354562492974,0.9999999999977588
0.02,0.9999999999999997,1.002326822228935,1.1496693513630176,0.07593966515477897,0.10514178640900408,0.22920909114019875,0.9757675189809503,0.12000000169715681,0.05000000535665808,-0.012050259471678853,0.23457354561404434,0.9999999999963385
0.03,0.9999999999999996,1.0023268222288853,1.149669351373976,0.07593966513444585,0.10514178634255676,0.22920909113729265,0.9757675189815818,0.12000000162750485,0.0500000053524015,-0.012050259471680423,0.234573545598853,0.9999999999949875
0.04,0.9999999999999994,1.0023268222290296,1.1496693513820717,0.07593966511409422,0.10514178626466136,0.22920909113177754,0.9757675189830255,0.12000000154656526,0.05000000535108689,-0.012050259471682341,0.23457354557959897,0.9999999999937148
0.05,0.9999999999999993,1.0023268222293213,1.14966935138909,0.07593966509332936,0.10514178617627944,0.22920909112376822,0.9757675189852066,0.12000000145518665,0.05000000535209091,-0.012050259471684609,0.23457354555655235,0.9999999999925289
0.06,0.9999999999999992,1.0023268222297241,1.1496693513950718,0.07593966507189527,0.10514178607843364,0.22920909111339727,0.9757675189880566,0.12000000135431109,0.05000000535491021,-0.012050259471687225,0.2345735455300069,0.9999999999914372
0.07,0.9999999999999991,1.0023268222302082,1.1496693514000542,0.07593966504965256,0.10514178597219608,0.22920909110081308,0.9757675189915098,0.12000000124495715,0.05000000535914248,-0.01205025947169019,0.23457354550027798,0.9999999999904462
0.08,0.999999999999999,1.00232682223075,1.1496693514040863,0.07593966502654512,0.10514178585868364,0.22920909108617923,0.9757675189955038,0.1200000011282076,0.050000005364454994,-0.012050259471693503,0.234573545467699,0.9999999999895616
0.09,0.9999999999999989,1.002326822231329,1.1496693514072283,0.07593966500259205,0.10514178573904139,0.2292090910696717,0.9757675189999764,0.12000000100519098,0.05000000537058075,-0.012050259471697165,0.23457354543261832,0.9999999999887877
0.1,0.9999999999999988,1.002326822231929,1.1496693514095448,0.07593966497786246,0.10514178561443642,0.22920909105147763,0.9757675190048665,0.12000000087706977,0.050000005377295306,-0.012050259471701175,0.2345735453953958,0.9999999999881283
0.11,0.9999999999999986,1.0023268222325363,1.1496693514111087,0.07593966495246426,0.10514178548604591,0.22920909103179338,0.9757675190101142,0.12000000074502593,0.05000000538440899,-0.012050259471705594,0.2345735453563992,0.9999999999875856
0.12,0.9999999999999983,1.0023268222331394,1.1496693514119942,0.07593966492653623,0.10514178535504931,0.22920909101082296,0.9757675190156596,0.12000000061025132,0.05000000539176085,-0.01205025947171071,0.23457354531600236,0.9999999999871612
0.13,0.9999999999999981,1.0023268222337278,1.149669351412275,0.07593966490024183,0.1051417852226142,0.22920909098877532,0.9757675190214432,0.12000000047393235,0.050000005399216285,-0.012050259471716522,0.23457354527458033,0.9999999999868554
0.14,0.9999999999999979,1.0023268222342936,1.1496693514120273,0.07593966487375685,0.1051417850898892,0.22920909096586298,0.9757675190274064,0.12000000033724001,0.05000000540665677,-0.012050259471723033,0.23457354523250656,0.9999999999866679
0.15,0.9999999999999977,1.0023268222348303,1.1496693514113265,0.07593966484726138,0.10514178495799686,0.22920909094230044,0.9757675190334926,0.12000000020132133,0.05000000541397387,-0.01205025947173024,0.23457354519015117,0.9999999999865969
0.16,0.9999999999999974,1.0023268222353308,1.1496693514102456,0.07593966482095156,0.10514178482802151,0.22920909091830174,0.975767519039644,0.12000000006728948,0.050000005421083536,-0.012050259471738146,0.2345735451478763,0.9999999999866401
0.17,0.9999999999999972,1.0023268222357904,1.149669351408854,0.07593966479501675,0.10514178470100398,0.22920909089407923,0.975767519045806,0.11999999993621385,0.0500000054279055,-0.01205025947174675,0.23457354510603362,0.9999999999867941
0.18,0.999999999999997,1.0023268222362054,1.149669351407223,0.07593966476964321,0.10514178457793298,0.22920909086984154,0.9757675190519258,0.11999999980911216,0.05000000543436896,-0.012050259471756052,0.23457354506496275,0.9999999999870547
0.19,0.9999999999999968,1.0023268222365722,1.1496693514054173,0.07593966474501539,0.10514178445973786,0.22920909084579197,0.9757675190579519,0.11999999968694355,0.050000005440415544,-0.01205025947176605,0.23457354502498712,0.9999999999874168
0.2,0.9999999999999966,1.002326822236888,1.1496693514034986,0.07593966472130965,0.10514178434728107,0.22920909082212662,0.9757675190638352,0.11999999957059974,0.05000000544599538,-0.012050259471776747,0.23457354498641286,0.9999999999878749
0.21,0.9999999999999963,1.0023268222371515,1.149669351401526,0.07593966469868701,0.10514178424135807,0.22920909079903395,0.9757675190695305,0.11999999946090337,0.05000000545105995,-0.01205025947178814,0.23457354494952679,0.9999999999884226
0.22,0.9999999999999961,1.0023268222373605,1.149669351399555,0.07593966467730905,0.10514178414268516,0.22920909077669202,0.9757675190749933,0.11999999935859924,0.050000005455580664,-0.012050259471800231,0.23457354491459323,0.9999999999890529
0.23,0.9999999999999959,1.0023268222375148,1.1496693513976344,0.0759396646573127,0.10514178405190083,0.22920909075526835,0.9757675190801842,0.11999999926435038,0.0500000054595242,-0.01205025947181302,0.23457354488185383,0.9999999999897583
0.24,0.9999999999999957,1.0023268222376145,1.1496693513958136,0.07593966463882502,0.10514178396956114,0.22920909073491838,0.9757675190850669,0.11999999917873644,0.05000000546286795,-0.012050259471826506,0.23457354485152537,0.999999999990531
0.25,0.9999999999999954,1.0023268222376591,1.1496693513941338,0.07593966462196258,0.10514178389613377,0.22920909071578402,0.9757675190896075,0.11999999910224772,0.05000000546560098,-0.01205025947184069,0.23457354482379844,0.9999999999913628
0.26,0.9999999999999952,1.0023268222376505,1.1496693513926324,0.0759396646068179,0.1051417838320025,0.22920909069799383,0.9757675190937775,0.11999999903528669,0.050000005467709926,-0.012050259471855573,0.23457354479883705,0.9999999999922452
0.27,0.999999999999995,1.0023268222375896,1.1496693513913459,0.07593966459347179,0.10514178377746279,0.22920909068166168,0.9757675190975514,0.1199999989781661,0.050000005469192,-0.012050259471871152,0.2345735447767782,0.9999999999931694
0.28,0.9999999999999948,1.002326822237478,1.1496693513903007,0.07593966458199085,0.10514178373272019,0.22920909066688594,0.9757675191009075,0.11999999893110698,0.05000000547005309,-0.012050259471887429,0.23457354475773018,0.9999999999941265
0.29,0.9999999999999946,1.0023268222373185,1.1496693513895226,0.07593966457241703,0.10514178369789558,0.22920909065374986,0.9757675191038294,0.11999999889424151,0.05000000547029643,-0.012050259471904403,0.23457354474177394,0.9999999999951077
0.3,0.9999999999999943,1.0023268222371131,1.149669351389034,0.07593966456478363,0.10514178367301995,0.2292090906423202,0.9757675191063033,0.11999999886761119,0.05000000546993932,-0.012050259471922075,0.23457354472896144,0.9999999999961042
0.31,0.9999999999999941,1.002326822236865,1.1496693513888483,0.07593966455910299,0.10514178365804197,0.22920909063264794,0.9757675191083205,0.11999999885117169,0.05000000546899956,-0.012050259471940444,0.23457354471931807,0.9999999999971072
0.32,0.9999999999999939,1.0023268222365773,1.14966935138898,0.0759396645553708,0.10514178365282915,0.22920909062476816,0.975767519109876,0.11999999884479491,0.05000000546749926,-0.01205025947195951,0.23457354471284145,0.9999999999981081
0.33,0.9999999999999937,1.0023268222362538,1.1496693513894358,0.0759396645535673,0.1051417836571706,0.22920909061869996,0.975767519110969,0.11999999884827187,0.05000000546546539,-0.012050259471979276,0.23457354470950234,0.9999999999990985
0.34,0.9999999999999934,1.0023268222358979,1.1496693513902205,0.07593966455365672,0.105141783670779,0.22920909061444641,0.9757675191116026,0.11999999886131461,0.05000000546292882,-0.012050259471999739,0.23457354470924643,1.0000000000000706
0.35000000000000003,0.9999999999999932,1.0023268222355135,1.1496693513913336,0.07593966455559037,0.1051417836932988,0.22920909061199574,0.9757675191117834,0.1199999988835648,0.050000005459925265,-0.012050259472020899,0.23457354471199499,1.0000000000010165
0.36,0.999999999999993,1.0023268222351047,1.1496693513927716,0.07593966455930344,0.10514178372430809,0.2292090906113211,0.9757675191115219,0.11999999891459502,0.05000000545649183,-0.012050259472042756,0.23457354471764638,1.0000000000019291
0.37,0.9999999999999928,1.0023268222346753,1.1496693513945277,0.0759396645647201,0.10514178376332657,0.22920909061238184,0.9757675191108317,0.11999999895391751,0.05000000545266989,-0.012050259472065311,0.23457354472607714,1.0000000000028015
0.38,0.9999999999999926,1.0023268222342303,1.1496693513965923,0.0759396645717478,0.10514178380981794,0.22920909061512357,0.9757675191097305,0.1199999990009855,0.050000005448499155,-0.012050259472088563,0.23457354473714298,1.0000000000036275
0.39,0.9999999999999923,1.002326822233773,1.1496693513989524,0.07593966458028975,0.10514178386319438,0.2292090906194787,0.9757675191082377,0.11999999905520017,0.05000000544402847,-0.012050259472112513,0.23457354475068184,1.0000000000044014
0.4,0.9999999999999921,1.0023268222333077,1.1496693514015905,0.07593966459023364,0.10514178392283016,0.2292090906253687,0.9757675191063763,0.11999999911592163,0.05000000543930169,-0.01205025947213716,0.2345735447665156,1.000000000005118
0.41000000000000003,0.9999999999999919,1.0023268222328392,1.1496693514044907,0.07593966460145861,0.10514178398806208,0.22920909063270398,0.975767519104172,0.11999999918247096,0.05000000543436427,-0.012050259472162506,0.23457354478445056,1.0000000000057727
0.42,0.9999999999999917,1.0023268222323718,1.1496693514076317,0.07593966461383699,0.10514178405819626,0.22920909064138495,0.9757675191016526,0.11999999925413718,0.05000000542926325,-0.01205025947218855,0.23457354480428164,1.0000000000063618
0.43,0.9999999999999915,1.0023268222319086,1.1496693514109904,0.07593966462723861,0.10514178413251567,0.22920909065130335,0.975767519098847,0.11999999933018562,0.05000000542404953,-0.01205025947221529,0.2345735448257912,1.000000000006882
0.44,0.9999999999999912,1.0023268222314539,1.1496693514145415,0.07593966464152348,0.1051417842102874,0.22920909066234343,0.9757675190957865,0.11999999940986358,0.050000005418769075,-0.012050259472242728,0.23457354484875603,1.0000000000073308
0.45,0.999999999999991,1.0023268222310113,1.1496693514182619,0.07593966465654974,0.10514178429077056,0.22920909067438344,0.9757675190925037,0.11999999949240975,0.05000000541346852,-0.012050259472270864,0.23457354487294416,1.0000000000077063
0.46,0.9999999999999908,1.0023268222305846,1.1496693514221237,0.07593966467217118,0.10514178437321865,0.22920909068729597,0.9757675190890321,0.11999999957705607,0.050000005408192306,-0.012050259472299697,0.234573544898121,1.0000000000080072
0.47000000000000003,0.9999999999999906,1.0023268222301769,1.1496693514260994,0.07593966468824229,0.10514178445688875,0.22920909070094975,0.9757675190854062,0.11999999966303788,0.050000005402985076,-0.012050259472329227,0.23457354492404853,1.000000000008233
0.48,0.9999999999999903,1.002326822229791,1.149669351430161,0.07593966470461992,0.10514178454104721,0.22920909071521073,0.9757675190816597,0.11999999974959995,0.05000000539789203,-0.012050259472359454,0.2345735449504897,1.0000000000083837
0.49,0.9999999999999901,1.0023268222294295,1.1496693514342797,0.07593966472115793,0.10514178462497621,0.22920909072994344,0.9757675190778278,0.11999999983600171,0.05000000539295198,-0.01205025947239038,0.23457354497720934,1.0000000000084601
0.5,0.9999999999999899,1.0023268222290957,1.149669351438428,0.07593966473771196,0.10514178470797941,0.22920909074501214,0.9757675190739452,0.11999999992152396,0.05000000538820058,-0.012050259472422003,0.23457354500397523,1.0000000000084635
0.51,0.9999999999999897,1.002326822228791,1.1496693514425784,0.07593966475414635,0.10514178478938344,0.22920909076028126,0.9757675190700457,0.1200000000054718,0.05000000538367663,-0.012050259472454325,0.23457354503056185,1.0000000000083955
0.52,0.9999999999999895,1.0023268222285178,1.149669351446701,0.07593966477032847,0.10514178486854835,0.22920909077561755,0.9757675190661622,0.12000000008718376,0.0500000053794139,-0.012050259472487343,0.2345735450567497,1.000000000008259
0.53,0.9999999999999892,1.0023268222282775,1.1496693514507714,0.07593966478612632,0.10514178494486894,0.22920909079089055,0.9757675190623278,0.1200000001660326,0.05000000537543855,-0.01205025947252106,0.23457354508233033,1.0000000000080564
0.54,0.999999999999989,1.0023268222280712,1.1496693514547633,0.0759396648014215,0.10514178501778036,0.22920909080597385,0.9757675190585728,0.1200000002414336,0.050000005371780086,-0.012050259472555473,0.23457354510710407,1.0000000000077915
0.55,0.9999999999999888,1.0023268222279003,1.1496693514586507,0.07593966481609742,0.1051417850867596,0.22920909082074564,0.9757675190549273,0.12000000031284364,0.050000005368459735,-0.012050259472590584,0.23457354513088377,1.0000000000074682
0.56,0.9999999999999886,1.0023268222277648,1.1496693514624117,0.07593966483005107,0.10514178515133064,0.22920909083509003,0.9757675190514187,0.12000000037976866,0.05000000536550034,-0.012050259472626392,0.23457354515349552,1.0000000000070906
0.5700000000000001,0.9999999999999883,1.0023268222276658,1.1496693514660232,0.07593966484318068,0.10514178521106804,0.22920909084889793,0.9757675190480735,0.12000000044176475,0.050000005362913616,-0.012050259472662897,0.23457354517478,1.0000000000066631
0.58,0.9999999999999881,1.0023268222276025,1.1496693514694667,0.07593966485540363,0.10514178526559695,0.2292090908620674,0.9757675190449149,0.12000000049844188,0.05000000536071732,-0.012050259472700102,0.23457354519459317,1.0000000000061908
0.59,0.9999999999999879,1.0023268222275752,1.1496693514727219,0.07593966486663908,0.10514178531459727,0.22920909087450472,0.9757675190419652,0.12000000054946441,0.05000000535891752,-0.012050259472738004,0.23457354521280646,1.0000000000056788
0.6,0.9999999999999877,1.002326822227583,1.1496693514757743,0.07593966487681983,0.10514178535780143,0.22920909088612443,0.9757675190392437,0.1200000005945514,0.05000000535752039,-0.012050259472776603,0.2345735452293085,1.0000000000051323
0.61,0.9999999999999875,1.0023268222276254,1.149669351478608,0.07593966488588727,0.10514178539499884,0.22920909089685038,0.9757675190367678,0.12000000063347997,0.05000000535652635,-0.0120502594728159,0.23457354524400523,1.000000000004557
0.62,0.9999999999999872,1.0023268222277006,1.149669351481212,0.07593966489379946,0.10514178542603374,0.22920909090661568,0.9757675190345513,0.12000000066608489,0.05000000535593826,-0.012050259472855894,0.23457354525681978,1.0000000000039584
0.63,0.999999999999987,1.0023268222278081,1.1496693514835752,0.07593966490051754,0.10514178545080728,0.2292090909153635,0.9757675190326067,0.12000000069225782,0.05000000535574779,-0.012050259472896585,0.23457354526769356,1.000000000003342
0.64,0.9999999999999868,1.0023268222279456,1.1496693514856908,0.0759396649060187,0.10514178546927493,0.22920909092304692,0.9757675190309432,0.12000000071194741,0.050000005355948514,-0.012050259472937974,0.23457354527658564,1.0000000000027136
0.65,0.9999999999999866,1.0023268222281116,1.1496693514875518,0.07593966491028997,0.10514178548144867,0.22920909092962952,0.9757675190295675,0.12000000072516043,0.050000005356529376,-0.01205025947298006,0.23457354528347313,1.0000000000020788
0.66,0.9999999999999863,1.0023268222283037,1.1496693514891556,0.07593966491332951,0.10514178548738928,0.2292090909350845,0.9757675190284835,0.12000000073195405,0.050000005357477756,-0.012050259473022846,0.23457354528835023,1.0000000000014428
0.67,0.9999999999999861,1.0023268222285207,1.1496693514905003,0.07593966491514165,0.10514178548721212,0.22920909093939584,0.9757675190276935,0.12000000073244087,0.050000005358773296,-0.012050259473066328,0.23457354529122748,1.0000000000008114
